Time stamp,"Reward Single base, no spawns",Reward Greedy agents - many spawns and conversions,"Reward Self play optimum 1 - single base, conservative start"
2020-04-24 18:01:59.121914,0.98,0.86,0.41
2020-04-24 18:04:25.346861,1.0,0.92,0.69
2020-04-24 18:06:55.091304,0.99,0.94,0.79
2020-04-24 18:09:27.746502,0.94,0.8,0.58
2020-04-24 18:11:54.452970,0.98,0.92,0.76
2020-04-24 18:14:20.290551,0.95,0.83,0.57
2020-04-24 18:16:45.515979,1.0,0.94,0.76
2020-04-24 18:19:09.036956,0.99,0.94,0.78
2020-04-24 18:21:31.976941,0.99,0.96,0.72
2020-04-24 18:23:55.214737,0.97,0.92,0.8
2020-04-24 18:26:21.863575,0.98,0.82,0.56
2020-04-24 18:28:47.069869,1.0,0.97,0.71
2020-04-24 18:31:13.328415,1.0,0.97,0.61
2020-04-24 18:33:50.010331,1.0,0.97,0.58
2020-04-24 18:36:21.369278,0.99,0.95,0.68
2020-04-24 18:38:59.067803,1.0,0.89,0.58
2020-04-24 18:41:32.748385,0.98,0.91,0.8
2020-04-24 18:44:07.347239,1.0,0.94,0.71
2020-04-24 18:46:39.157345,0.9,0.75,0.53
2020-04-24 18:49:00.756394,1.0,0.97,0.65
2020-04-24 18:51:30.964341,0.99,0.9,0.76
2020-04-24 18:54:03.095789,1.0,0.94,0.79
2020-04-24 18:56:35.823421,0.99,0.95,0.58
2020-04-24 18:59:09.676460,0.97,0.97,0.77
2020-04-24 19:01:39.958865,0.99,0.94,0.72
2020-04-24 19:04:13.270088,0.98,0.93,0.79
2020-04-24 19:06:49.646540,1.0,0.95,0.77
2020-04-24 19:09:34.484610,0.98,0.91,0.71
2020-04-24 19:12:26.832188,1.0,0.96,0.69
2020-04-24 19:15:19.094516,1.0,0.93,0.72
2020-04-24 19:18:10.501418,0.99,0.96,0.8
2020-04-24 19:21:09.480695,0.98,0.94,0.72
2020-04-24 19:23:57.484921,0.97,0.87,0.7
2020-04-24 19:26:38.357374,0.99,0.88,0.77
2020-04-24 19:29:18.612398,0.99,0.94,0.71
2020-04-24 19:32:01.083230,0.99,0.95,0.8
2020-04-24 19:34:52.742802,0.94,0.72,0.22
2020-04-24 19:37:54.548771,0.95,0.89,0.62
2020-04-24 19:40:49.754420,0.91,0.7,0.63
2020-04-24 19:43:41.590931,0.99,0.95,0.77
2020-04-24 19:46:31.849973,0.96,0.86,0.69
2020-04-24 19:49:21.174118,0.99,0.97,0.8
2020-04-24 19:52:14.241643,0.99,0.97,0.76
2020-04-24 19:55:21.383515,1.0,0.93,0.72
2020-04-24 19:58:23.616711,0.98,0.82,0.46
2020-04-24 20:01:38.141960,0.99,0.91,0.63
2020-04-24 20:04:44.905735,1.0,0.94,0.63
2020-04-24 20:07:48.183707,0.88,0.76,0.48
2020-04-24 20:10:59.189632,0.99,0.97,0.74
2020-04-24 20:13:49.146615,0.99,0.9,0.79
2020-04-24 20:16:42.214392,0.99,0.94,0.75
