Average reward self play,Average reward previous iterations,Average evaluation reward,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path
0.5166666666666666,-1,0.5599999999999999,1.0,327077,2.9584727466351732e-06,213.62,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.4533333333333334,-1,0.5499999999999997,1.0,324246,2.5499452283553e-06,196.0,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.52,-1,0.5133333333333333,1.0,319978,2.2064227274738566e-06,205.0,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5366666666666666,-1,0.5433333333333333,1.0,310363,1.907712449444212e-06,178.78,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5533333333333333,-1,0.5366666666666666,1.0,311818,1.66209441948431e-06,202.345,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5466666666666665,-1,0.5633333333333332,1.0,317035,1.6562049636471986e-06,208.005,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5033333333333334,-1,0.5466666666666667,1.0,313994,1.635406944209801e-06,202.16,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5766666666666667,-1,0.4933333333333334,1.0,314209,1.6633949631157556e-06,190.47,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5866666666666667,-1,0.5533333333333335,1.0,313912,1.5981029562866988e-06,199.47,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5933333333333333,-1,0.5333333333333333,1.0,300592,1.6283384899418866e-06,179.61,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5399999999999999,-1,0.4733333333333334,1.0,295173,1.644210240205202e-06,187.215,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.6233333333333333,-1,0.5933333333333334,1.0,304602,1.4874773295900626e-06,215.355,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5699999999999998,-1,0.6166666666666667,1.0,308790,1.5149650419469024e-06,202.455,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.4833333333333333,-1,0.6033333333333334,1.0,316359,1.4661859977817101e-06,198.915,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5533333333333335,-1,0.57,1.0,324747,1.4511085655574531e-06,192.275,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5233333333333333,-1,0.6366666666666666,1.0,321811,1.5132197133934256e-06,206.355,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.55,-1,0.5866666666666667,1.0,312897,1.4150259952706473e-06,190.59,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5,-1,0.4333333333333333,1.0,308695,1.4352579867334796e-06,204.435,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
