Average reward self play,Average reward previous iterations,Average evaluation reward,Average final halite self play,Median final halite self play,Average halite change per step self play,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path,Time stamp
0.4233333333333335,-1,0.27666666666666656,4147,0.0,-5,1.0,315040,6.842205860503353e-08,175.42,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:28:38.643625
0.3,-1,0.17333333333333334,320,0.0,-33,1.0,318925,5.629342892157631e-08,182.27,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:37:50.039014
0.5,-1,0.5066666666666667,56160,7.0,206,1.0,328213,5.447436044131491e-08,246.345,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:48:31.950047
0.3866666666666667,-1,0.26,4517,0.0,-2,1.0,347682,5.874279869245089e-08,229.155,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 02:59:14.905782
0.32666666666666666,-1,0.14,32,0.0,-30,1.0,361986,6.499412206788028e-08,195.965,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 03:08:41.002327
0.6533333333333333,-1,0.5399999999999999,148419,23.5,545,1.0,386493,6.094228422174916e-08,238.295,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 03:20:20.573978
0.3333333333333333,-1,0.2333333333333333,52,0.0,-36,1.0,366209,6.7870597378729e-08,173.035,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 03:29:36.407377
0.4933333333333333,-1,0.28,1934,0.0,-11,1.0,368896,6.277304869043096e-08,234.98,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 03:40:45.200948
0.3066666666666667,-1,0.16000000000000006,324,0.0,-35,1.0,364808,5.6427849537031735e-08,190.695,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 03:49:59.637909
0.18000000000000005,-1,0.19333333333333336,341,0.0,-39,1.0,337647,6.723715269246815e-08,173.155,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 03:59:13.405734
0.3533333333333333,-1,0.19,893,0.0,-27,1.0,343032,6.175377129085236e-08,193.93,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 04:08:42.991010
