halite_config_setting_divisor,min_spawns_after_conversions,collect_smoothed_multiplier,collect_actual_multiplier,collect_less_halite_ships_multiplier,return_base_multiplier,return_base_less_halite_ships_multiplier,early_game_return_base_additional_multiplier,early_game_return_boost_step,end_game_return_base_additional_multiplier,establish_base_smoothed_multiplier,establish_first_base_smoothed_multiplier_correction,establish_base_deposit_multiplier,establish_base_less_halite_ships_multiplier,collect_run_enemy_multiplier,return_base_run_enemy_multiplier,establish_base_run_enemy_multiplier,collect_catch_enemy_multiplier,return_base_catch_enemy_multiplier,establish_base_catch_enemy_multiplier,ignore_catch_prob,max_ships,max_spawns_per_step,nearby_ship_halite_spawn_constant,nearby_halite_spawn_constant,remaining_budget_spawn_constant,spawn_score_threshold,max_spawn_relative_step_divisor,terminal_num_ships,terminal_num_bases,episode_reward,terminal_halite
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,2,1.0,6093.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,9,1,0.3333333333333333,3219.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,2,0.6666666666666666,4290.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,2,0.6666666666666666,4702.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,3,0.0,2832.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,9,1,0.3333333333333333,4091.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,1,1.0,5594.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,3,1.0,5585.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,3,0.6666666666666666,4253.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,15,3,0.6666666666666666,3371.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,17,1,1.0,6211.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,13,2,0.6666666666666666,4490.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,2,0.3333333333333333,3544.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,4,0.6666666666666666,4360.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,16,2,0.6666666666666666,4579.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,2,1.0,4862.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,6,4,0.0,2169.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,1,1.0,5472.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,15,4,0.6666666666666666,6238.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,8,3,0.0,3594.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,10,2,0.3333333333333333,3201.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,9,2,0.0,2800.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,1,1.0,3635.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,3,1.0,3540.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,9,2,0.3333333333333333,2566.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,16,5,0.3333333333333333,3145.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,3,0.6666666666666666,3968.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,16,1,0.6666666666666666,4384.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,3,1.0,5786.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,12,2,0.3333333333333333,4791.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,11,1,1.0,6328.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,14,1,1.0,5475.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,4,3,0.0,2984.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,8,2,0.3333333333333333,4131.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,7,1,0.6666666666666666,5184.0
1.0,1,0.2,6.0,20,6.0,20,2.0,100,10.0,0.0,1.0,0.75,20,10.0,1.0,4.0,0.5,0.5,0.5,0.5,20,2,2.0,10.0,0.2,50.0,100.0,19,2,1.0,5580.0
