Time stamp,Average reward self play,Average evaluation reward,Experience buffer size,Data rules path
2020-04-21 23:46:01.579230,0.5233333333333333,0.4700000000000002,7000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:48:55.915902,0.3933333333333332,0.4733333333333332,7100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:51:46.851775,0.4200000000000001,0.4733333333333334,7200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:54:26.344589,0.4600000000000001,0.43999999999999984,7300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:57:15.101565,0.40333333333333343,0.5566666666666666,7400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-21 23:59:57.104334,0.4666666666666668,0.4766666666666666,7500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:02:50.634711,0.4933333333333334,0.4933333333333331,7600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:05:42.051222,0.4199999999999999,0.39666666666666667,7700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:08:34.392883,0.4600000000000004,0.6,7800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:11:19.466662,0.5566666666666672,0.4666666666666665,7900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:14:05.905757,0.4799999999999999,0.4166666666666667,8000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:16:48.878509,0.5466666666666667,0.3966666666666668,8100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:19:35.891269,0.4433333333333334,0.43,8200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:22:28.382613,0.5266666666666671,0.3866666666666667,8300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:25:24.010751,0.4933333333333334,0.4233333333333335,8400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:28:18.980995,0.5299999999999998,0.44666666666666666,8500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:31:05.496622,0.4099999999999999,0.3533333333333333,8600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:33:48.637160,0.30333333333333323,0.4400000000000001,8700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:36:36.015960,0.4433333333333334,0.5733333333333334,8800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:39:28.193624,0.5399999999999996,0.5599999999999998,8900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:42:15.756696,0.6,0.5733333333333331,9000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:45:12.710095,0.5399999999999999,0.4666666666666667,9100,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:48:06.304317,0.5966666666666665,0.6233333333333333,9200,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:51:03.927312,0.6399999999999999,0.6099999999999999,9300,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_18.json
2020-04-22 00:53:52.526297,0.5833333333333334,0.5533333333333332,9400,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 00:56:42.091035,0.44999999999999984,0.5933333333333333,9500,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 00:59:30.011091,0.5566666666666666,0.4433333333333332,9600,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:02:17.241680,0.4033333333333333,0.5466666666666667,9700,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:05:01.548332,0.57,0.4000000000000001,9800,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:07:59.875459,0.6000000000000001,0.5366666666666666,9900,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:10:59.436635,0.6033333333333332,0.51,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:13:58.018264,0.46,0.39333333333333337,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:16:46.918276,0.5566666666666666,0.41000000000000014,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:19:34.477377,0.43333333333333307,0.3833333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:22:25.701588,0.4249999999999999,0.4799999999999999,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:25:20.021456,0.4966666666666669,0.4466666666666669,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:28:12.396408,0.43,0.5166666666666666,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:31:01.217706,0.5266666666666667,0.5199999999999999,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:34:04.937161,0.3966666666666665,0.4700000000000004,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:37:02.001857,0.5666666666666667,0.4866666666666665,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:40:07.711243,0.5166666666666668,0.39666666666666667,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:42:50.608649,0.4500000000000001,0.4933333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:45:39.385089,0.42666666666666697,0.4766666666666666,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:48:26.376110,0.4066666666666666,0.4933333333333333,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:51:16.444895,0.3649999999999999,0.5133333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:54:04.307807,0.4233333333333333,0.4500000000000002,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 01:57:00.238727,0.4666666666666665,0.33333333333333337,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
